Country name,Total cases,Total deaths,Total recovered,Active cases,New cases,New deaths,Total tests,Population
Uruguay,987 563,7 501 ,978 972,1 090,,,6 114 822,3 501 105 
Mongolia,983 845,2 179 ,980 685,981,,,4 030 048,3 398 399 
Latvia,942 091,6 023 ,923 061,13 007,+807,,7 700 314,1 838 832 
Azerbaijan,822 427,9 931 ,811 998,498,+81,,7 282 773,10 347 049 
Saudi Arabia,818 427,9 376 ,805 095,3 956,+191,+2,44 422 279,36 047 359 
Paraguay,717 039,19 595 ,697 361,83,,,2 657 506,7 331 846 
Bahrain,684 545,1 521 ,680 535,2 489,,,10 430 107,1 836 200 
Sri Lanka,670 899,16 768 ,654 015,116,+3,,6 486 117,21 617 418 
Kuwait,660 667,2 564 ,657 113,990,,,8 393 046,4 414 256 
Dominican Republic,645 952,4 384 ,641 157,411,,,3 657 057,11 095 356 
Myanmar,627 328,19 468 ,597 898,9 962,+346,+1,9 056 450,55 239 372 
Palestine,620 757,5 404 ,614 914,439,,,3 078 533,5 371 257 
Estonia,604 380,2 713  ,524 990,76 677,,,3 553 431,1 328 563 
Moldova,591 853,11 870 ,504 142,75 841,,,3 216 305,4 012 653 
Cyprus,590 783,1 187 ,581 194,8 402,,,9 640 118,1 227 349 
Venezuela,545 159,5 818 ,538 812,529,,,3 359 014,28 252 813 
Egypt,515 645,24 613 ,442 182,48 850,,,3 693 367,106 725 895 
Libya,507 010,6 437 ,500 528,45,,,2 482 490,7 083 857 
Ethiopia,493 723,7 572 ,472 005,14 146,,,5 282 053,121 443 513 
Réunion,472 692,894 ,418 572,53 226,,,1 603 660,909 844 
Qatar,460 449,682 ,456 543,3 224,+651,,3 992 071,2 807 805  
Honduras,456 664,10 996 ,N/A,N/A,,,1 533 488,10 263 000 
Armenia,444 482,8 700 ,432 811,2 971,,,3 220 025,2 975 836 
Bosnia and Herzegovina,399 346,16 156 ,377 037,6 153,+48,,1 867 018,3 234 448 
Oman,398 424,4 260 ,384 669,9 495,,,25 000 000,5 402 163 
North Macedonia,343 515,9 551 ,333 647,317,+53,,2 135 641,2 083 180 
Kenya,338 528,5 678 ,332 812,38,,,3 898 081,56 466 343 
Zambia,333 624,4 017 ,329 544,63,,,3 740 005,19 555 616 
Albania,332 555,3 590 ,327 325,1 640,,,1 941 032,2 870 654 
Botswana,326 344,2 790 ,322 955,599,,,2 026 898,2 459 663 
Luxembourg,294 753,1 130 ,287 707,5 916,,,4 402 293,649 148 
Montenegro,281 599,2 782 ,277 930,887,+102,,2 636 394,628 247 
Algeria,270 722,6 881 ,182 348,81 493,,,230 861,45 652 631 
Nigeria,265 816,3 155 ,259 043,3 618,,,5 441 162,217 765 686 
Zimbabwe,257 798,5 604 ,251 778,416,,,2 525 111,15 355 151 
Uzbekistan,244 350,1 637 ,241 486,1 227,,,1 377 915,34 572 716 
Brunei ,231 833,225 ,222 140,9 468,,,717 784,447 007 
Mozambique,230 370,2 224 ,228 146,0,,,1 371 127,33 248 198 
Martinique,222 830,1 047 ,N/A,N/A,,,828 928,374 603 
Laos,216 047,758 ,N/A,N/A,+20,,1 233 207,7 515 744 
Kyrgyzstan,206 250,2 991 ,196 406,6 853,,,1 907 195,6 769 087 
Iceland,205 963,213 ,N/A,N/A,,,1 996 384,346 280 
El Salvador,201 785,4 230 ,179 410,18 145,,,2 610 114,6 560 632 
Afghanistan,200 846,7 809  ,179 405,13 632,+67,+2,1 117 349,40 923 221 
Guadeloupe,195 593,991 ,N/A,N/A,,,938 039,400 280 
Maldives,185 125,308 ,163 687,21 130,,,2 213 831,562 204 
Trinidad and Tobago,183 824,4 224 ,176 317,3 283,,,842 716,1 409 793 
Ghana,170 103,1 459 ,168 229,415,,,2 511 072,32 548 755 
Uganda,169 396,3 628 ,100 431,65 337,,,3 012 408,49 028 674 
Namibia,169 253,4 065 ,164 813,375,,,1 062 663,2 645 600 
Jamaica,151 931,3 320 ,99 392,49 219,,,1 183 986,2 990 558 
Cambodia,137 952,3 056 ,134 816,80,+11,,3 071 982,17 245 351 
Rwanda,132 523,1 467 ,131 027,29,,,5 837 293,13 682 820 
Cameroon,121 652,1 935 ,118 616,1 101,,,1 751 774,28 049 505 
Malta,114 941,806 ,113 445,690,+23,,2 068 154,444 217 
Angola,103 131,1 917 ,101 155,59,,,1 499 795,35 193 053 
Barbados,102 580,560 ,101 812,208,,,765 701,288 175 
French Guiana,94 073,410 ,11 254,82 409,,,651 257,316 299 
DRC,92 934,1 443 ,83 521,7 970,,,846 704,95 758 159 
Channel Islands,92 482,204 ,91 425,853,,,1 252 808,177 508 
Senegal,88 544,1 968 ,86 461,115,,,1 146 543,17 748 015 
Malawi,88 055,2 682 ,84 968,405,,,618 450,20 254 826 
Ivory Coast,87 490,826 ,86 606,58,,,1 634 327,27 864 650 
Suriname,81 131,1 385 ,N/A,N/A,,,239 280,598 588 
French Polynesia,76 703,649 ,N/A,N/A,,,,284 601 
New Caledonia,74 210,314 ,73 884,12,,,98 964,291 741 
Eswatini,73 436,1 422 ,71 973,41,,,1 045 903,1 187 488 
Guyana,71 393,1 281 ,70 047,65,,,698 325,795 183 
Belize,68 909,686 ,68 197,26,,,576 016,414 051 
Fiji,68 244,878 ,66 305,1 061,,,663 021,911 219 
Madagascar,66 687,1 410 ,65 267,10,,,512 993,29 310 948 
Sudan,63 375,4 963 ,57 481,931,,,562 941,46 178 889 
Mauritania,62 984,995 ,61 833,156,,,980 650,4 927 776 
Cabo Verde,62 390,410 ,61 922,58,,,401 622,569 724 
Bhutan,62 200,21 ,61 564,615,,,2 303 734,790 935 
Syria,57 329,3 163 ,54 145,21,,,146 269,18 468 046 
Burundi,50 289,38 ,50 104,147,,,345 742,12 696 741 
Gabon,48 772,306 ,48 332,134,,,1 617 837,2 345 237 
Seychelles,47 141,169 ,46 446,526,,,,99 732 
Andorra,46 366,155 ,46 087,124,,,249 838,77 546 
Papua New Guinea,45 146,668 ,43 982,496,,,249 149,9 332 634 
Curaçao,45 127,282 ,44 720,125,,,496 693,165 619 
Aruba,42 914,227 ,42 438,249,,,177 885,107 797 
Mauritius,40 519,1 027 ,38 857,635,,,358 675,1 276 566 
Mayotte,40 277,187 ,N/A,N/A,,,176 919,287 793 
Tanzania,39 679,845 ,N/A,N/A,,,,63 606 218 
Togo,39 219,287 ,38 770,162,,,794 812,8 720 230 
Isle of Man,38 008,116 ,N/A,N/A,,,150 753,86 056 
